GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.deledzis.messenger.data.mapper.users,UsersTestData,3,76,0,0,1,28,1,1,1,1
app,com.deledzis.messenger.data.mapper.users,UserMapper,0,29,0,0,0,9,0,3,0,3
app,com.deledzis.messenger.data.mapper.users,UserMapperTest,3,58,0,0,0,12,1,3,1,3
app,com.deledzis.messenger.data.mapper.users,UsersMapperTest,3,123,0,0,0,18,1,3,1,3
app,com.deledzis.messenger.data.mapper.users,UsersMapper,0,57,0,0,0,3,0,3,0,3
app,com.deledzis.messenger.data.mapper.users,UsersTestData.Companion,0,8,0,0,0,4,0,4,0,4
app,com.deledzis.messenger.data,MockitoHelperKt,11,0,0,0,3,0,3,0,3,0
app,com.deledzis.messenger.common.extensions,StdLibExtensionsTest,0,131,0,0,0,22,0,6,0,6
app,com.deledzis.messenger.common.extensions,CalendarExtensionsTest,0,233,0,0,0,54,0,9,0,9
app,com.deledzis.messenger.common.extensions,DateExtensionsTest,1,108,1,1,0,30,1,8,0,8
app,com.deledzis.messenger.common.extensions,DateExtensionsKt,128,252,16,12,18,39,17,13,5,11
app,com.deledzis.messenger.common.extensions,StdLibExtensionsKt,37,117,10,6,4,13,10,7,4,5
app,com.deledzis.messenger.common.extensions,CalendarExtensionsKt,4,161,2,2,2,32,2,16,0,16
app,com.deledzis.messenger.remote,ChatsRemoteImplTest,17,43,0,0,0,7,3,4,3,4
app,com.deledzis.messenger.remote,UsersRemoteImplTest,17,39,0,0,0,7,3,4,3,4
app,com.deledzis.messenger.remote,MessagesRemoteImplTest.sendMessageTest.new Function2() {...},7,55,3,4,0,7,3,2,0,1
app,com.deledzis.messenger.remote,RemoteTestData,3,123,0,0,1,57,1,1,1,1
app,com.deledzis.messenger.remote,AuthRemoteImplTest.registerTest.new Function2() {...},6,50,3,4,0,9,3,2,0,1
app,com.deledzis.messenger.remote,ChatsRemoteImpl,6,23,0,0,1,3,1,3,1,3
app,com.deledzis.messenger.remote,AuthRemoteImpl,9,42,0,0,1,19,1,4,1,4
app,com.deledzis.messenger.remote,ChatsRemoteImplTest.getChatsTest.new Function2() {...},5,49,2,3,0,5,2,2,0,1
app,com.deledzis.messenger.remote,MessagesRemoteImpl,6,27,0,0,1,6,1,3,1,3
app,com.deledzis.messenger.remote,ChatsRemoteImplTest.addChatTest.new Function2() {...},5,54,2,3,0,7,2,2,0,1
app,com.deledzis.messenger.remote,MessagesRemoteImplTest,17,43,0,0,0,7,3,4,3,4
app,com.deledzis.messenger.remote,AuthRemoteImplTest.loginTest.new Function2() {...},6,49,3,4,0,7,3,2,0,1
app,com.deledzis.messenger.remote,AuthRemoteImplTest.updateUserDataTest.new Function2() {...},6,51,3,4,0,10,3,2,0,1
app,com.deledzis.messenger.remote,UsersRemoteImplTest.getUserTest.new Function0() {...},0,12,0,0,0,2,0,1,0,1
app,com.deledzis.messenger.remote,RemoteTestData.Companion,2,12,0,0,1,6,1,6,1,6
app,com.deledzis.messenger.remote,MessagesRemoteImplTest.getChatMessagesTest.new Function2() {...},5,75,3,5,0,10,3,3,0,1
app,com.deledzis.messenger.remote,UsersRemoteImplTest.getUsersTest.new Function2() {...},5,32,2,3,0,4,2,2,0,1
app,com.deledzis.messenger.remote,UsersRemoteImplTest.getUserTest.1.new Function2() {...},5,38,2,3,0,4,2,2,0,1
app,com.deledzis.messenger.remote,UsersRemoteImpl,0,21,0,0,0,3,0,3,0,3
app,com.deledzis.messenger.remote,AuthRemoteImplTest,17,55,0,0,0,9,3,5,3,5
app,com.deledzis.messenger.data.mapper,IdResponseMapper,0,21,0,0,0,3,0,3,0,3
app,com.deledzis.messenger.data.mapper,IdResponseMapperTest,3,34,0,0,0,8,1,3,1,3
app,com.deledzis.messenger.data.mapper,MappersTestData.Companion,0,8,0,0,0,4,0,4,0,4
app,com.deledzis.messenger.data.mapper,ServerMessageResponseMapper,0,25,0,0,0,7,0,3,0,3
app,com.deledzis.messenger.data.mapper,MappersTestData,3,30,0,0,1,8,1,1,1,1
app,com.deledzis.messenger.data.mapper,ServerMessageResponseMapperTest,3,46,0,0,0,10,1,3,1,3
app,com.deledzis.messenger.data.mapper.chats,ChatMapper,34,63,2,2,0,11,2,3,0,3
app,com.deledzis.messenger.data.mapper.chats,ChatsMapper,0,57,0,0,0,3,0,3,0,3
app,com.deledzis.messenger.data.mapper.chats,ChatMapperTest,3,73,0,0,0,14,1,3,1,3
app,com.deledzis.messenger.data.mapper.chats,ChatsTestData.Companion,0,8,0,0,0,4,0,4,0,4
app,com.deledzis.messenger.data.mapper.chats,ChatsMapperTest,3,144,0,0,0,20,1,3,1,3
app,com.deledzis.messenger.data.mapper.chats,ChatsTestData,3,76,0,0,1,34,1,1,1,1
app,com.deledzis.messenger.common.util,DateUtils,37,380,0,6,0,56,10,14,10,11
app,com.deledzis.messenger.common.util,"DateUtilsTest.getDate from improperly formatted year, month and day does not throw.new Executable() {...}",0,13,0,0,0,7,0,1,0,1
app,com.deledzis.messenger.common.util,DateUtilsTest,8,352,8,8,0,90,8,16,0,16
app,com.deledzis.messenger.data.mapper.messages,MessagesTestData,3,94,0,0,1,52,1,1,1,1
app,com.deledzis.messenger.data.mapper.messages,MessageMapper,0,45,0,0,0,17,0,3,0,3
app,com.deledzis.messenger.data.mapper.messages,MessageMapperTest,3,106,0,0,0,20,1,3,1,3
app,com.deledzis.messenger.data.mapper.messages,MessagesTestData.Companion,0,8,0,0,0,4,0,4,0,4
app,com.deledzis.messenger.data.mapper.messages,MessagesMapper,0,57,0,0,0,3,0,3,0,3
app,com.deledzis.messenger.data.mapper.messages,MessagesMapperTest,3,195,0,0,0,26,1,3,1,3
app,com.deledzis.messenger.data.mapper.auth,AuthTestData,3,22,0,0,1,10,1,1,1,1
app,com.deledzis.messenger.data.mapper.auth,AuthMapperTest,3,70,0,0,0,14,1,3,1,3
app,com.deledzis.messenger.data.mapper.auth,AuthTestData.Companion,0,4,0,0,0,2,0,2,0,2
app,com.deledzis.messenger.data.mapper.auth,AuthMapper,0,33,0,0,0,11,0,3,0,3
